nivel;ano;area;variavel;descricao;n;pearson_r;pearson_p;spearman_rho;spearman_p
ano_area;2022.0;LC;diferenca_similaridade;Proximidade relativa;800;-0.1428680696091602;5.004396005703636e-05;-0.1939296068909078;3.217779448271759e-08
ano_area;2022.0;MT;diferenca_similaridade;Proximidade relativa;96;-0.3098757198134634;0.0021236047484850104;-0.42335066990568765;1.7270735450766153e-05
ano_area;2023.0;CH;diferenca_similaridade;Proximidade relativa;720;-0.02928260977065766;0.43272455271552857;-0.007194742302978795;0.8471764928365261
ano_area;2023.0;CN;diferenca_similaridade;Proximidade relativa;528;-0.08331391070046806;0.055722708652665924;-0.10330551304513869;0.01757225354762193
ano_area;2023.0;LC;diferenca_similaridade;Proximidade relativa;800;-0.10359064945927099;0.003353801369538276;-0.1671856632208967;1.986087083752657e-06
ano_area;2023.0;MT;diferenca_similaridade;Proximidade relativa;164;-0.14630624779969065;0.06157064140406176;-0.14864604197335024;0.05748498163332275
ano_area;2024.0;CH;diferenca_similaridade;Proximidade relativa;720;-0.001930404325258414;0.958761177510679;-0.04781905989826158;0.19997463420366815
ano_area;2024.0;CN;diferenca_similaridade;Proximidade relativa;496;-0.09594457632090524;0.03265282017908846;0.0002619904390442489;0.99535627225527
ano_area;2024.0;LC;diferenca_similaridade;Proximidade relativa;800;-0.07955304489564231;0.024439508964230174;-0.14455035731935878;4.066308545016234e-05
ano_area;2024.0;MT;diferenca_similaridade;Proximidade relativa;160;0.13182930633320128;0.09657107420183046;0.12576054934818473;0.11306084737480278
ano_area;2025.0;CH;diferenca_similaridade;Proximidade relativa;720;-0.013355377842088414;0.7205261502058111;0.006955870002993626;0.8521910519714997
ano_area;2025.0;CN;diferenca_similaridade;Proximidade relativa;512;-0.18008540195727848;4.159039458389653e-05;-0.17304600108938478;8.293934010829033e-05
ano_area;2025.0;LC;diferenca_similaridade;Proximidade relativa;800;-0.04950050210671307;0.16188677544627622;-0.05696119401976935;0.10742101467400846
ano_area;2025.0;MT;diferenca_similaridade;Proximidade relativa;112;-0.26149037631814087;0.0053538020244073324;-0.23795282810696355;0.01152369110303096
